date,url,陈述摘要,类型,market,regime,可结算,结算结果,备注
2026-06-01,https://x.com/TingHu888/status/2061380396068303150,5月归纳:不少AI股和币高点在特朗普访华前后;部分AI股回撤10-30%后创新高;币走圣诞树,复盘,跨市场,未定,仅限A股,,币股分道的群体性复盘;与06-02体制锚呼应
2026-06-02,https://x.com/TingHu888/status/2061684641665593412,推特炒MLCC火热当日A股MLCC整体近10%涨停;风华高科昨日辟谣利空没绿今日又涨停,记录/试纸,A股,退潮,Y,,同推文声明今日整体继续减仓系本周计划;已核joined0602:宇宙186涨122跌反弹日
2026-06-02,https://x.com/TingHu888/status/2061820875209650315,币圈处于熊市;AI依旧处于几年趋势牛中波动向上;认不清则投资难有好结果,观点,跨市场,牛,仅限A股,,本段体制锚(币=熊 AI=牛);举美光阶段回撤20+%后V回创新高 3月最大回撤30+%
2026-06-03,https://x.com/TingHu888/status/2062059823848661335,源杰科技是真他喵的猛,记录/试纸,A股,未定,Y,,感叹式存档非操作声明;688498不在joined AI表;当日宇宙149涨162跌
2026-06-04,https://x.com/TingHu888/status/2062363311522664728,跌得比预计快;比特币这么快就跌破62000;原以为要磨一磨,复盘,币圈,熊,N,,隐含此前已有62000量级预判;同日两条解释挂单逻辑
2026-06-04,https://x.com/TingHu888/status/2062371741780123863,62000捞油水单子今日接到;短线有反弹高度未知;趋势上继续看跌,挂单,币圈,熊,N,,62000为60000插针反弹后回撤最低位;并警告牛回陷阱后右侧追入性价比差(2062373696904536559)
2026-06-05,https://x.com/TingHu888/status/2062764764338741353,影响力真大;100亿美金市值的票被直接喊到20%涨停,记录/试纸,A股,未定,Y,,20cm涨停指向创业板/科创板;标的未指名;关联同日记录推文(2062741977842794852)
2026-06-05,https://x.com/TingHu888/status/2062771527612019076,本周股票边打边撤已转入相对安全区域;休整一段时间后继续进攻,挂单,跨市场,退潮,仅限A股,,06-04自述本周有票卖好位有票越减越飞(2062368718299230220);已核joined0605:宇宙111涨196跌
2026-06-05,https://x.com/TingHu888/status/2062776678896816179,很多币正往下坠;等待一个插针放量;然后在新平台震荡一段时间,预判,币圈,熊,N,,同日补充:现在这种跌幅还不是他认为的大幅度下挫(2062811167022784538)
2026-06-05,https://x.com/TingHu888/status/2062813876400673086,四个月路线图自述兑现;从熊市中继反弹驱虎吞狼到实现特朗普访华附近止盈,复盘,币圈,熊,N,,结算性自评需对照外部行情审计;含美伊战争波段与公链补涨节点;核对修正:原引url为感叹推文2062820652697174174已更正
2026-06-06,https://x.com/TingHu888/status/2062934874030481895,600的ZEC确实是这次阶段性顶端价格区间;情绪高时就是止盈好位置,复盘,币圈,熊,N,,并以吹满气的气球比喻复述1011黑天鹅的情绪逻辑
2026-06-07,https://x.com/TingHu888/status/2063543098551251440,已建数个DTCC相关代币观察仓;待较好回撤或中长期震荡择机买入,挂单,币圈,未定,N,,依据DTC代币化服务2026年7月有限生产10月全面推出;具体标的未指名
2026-06-07,https://x.com/TingHu888/status/2063543836408992072,周一股票继续大跌则短线捞油水机会;回调不会这么快结束;本月大概率波折,预判,A股,退潮,Y,,已核joined0608:宇宙71涨240跌大跌兑现条件;其自述周一已入场(2064550172269666339)
2026-06-09,https://x.com/TingHu888/status/2064284238359486789,SpaceX定于6-12上市代码SPCX;本周一捞油水仓将在其上市前止盈,挂单,A股,修复,Y,,已核joined0609:宇宙233涨76跌反弹日;止盈执行与结果见06-10各条
2026-06-10,https://x.com/TingHu888/status/2064383883823690191,求明天大A别崩太厉害;让捞油水盈利单子至少保本走,挂单,A股,退潮,Y,,已核joined0610:宇宙133涨175跌;同时称不捞了SpaceX上线后再找机会(2064385653656400354)
2026-06-10,https://x.com/TingHu888/status/2064390770078126534,记录:AXTI离Serenity推荐时还有五倍;离最高点腰斩,记录/试纸,美股,未定,N,,情绪演化标本;称此为上周保守策略原因之一(2064393368365633744)
2026-06-10,https://x.com/TingHu888/status/2064396176259162387,美股AI跌得丝滑疑SpaceX吸血;盲捞一些;明天无论赚亏都会走,挂单,美股,退潮,N,,盲捞即不看标的赌一手;自称历史上私下做过首次公开
2026-06-10,https://x.com/TingHu888/status/2064409127749874110,记录:美国银行称股市警示信号太多;投资者应锁定利润,记录/试纸,美股,未定,N,,机构言论存档
2026-06-10,https://x.com/TingHu888/status/2064412977735119348,下跌主因SpaceX打新吸血;后面跌多将现情绪错杀与修复捞油水机会,预判,美股,退潮,N,,时效更新:盲捞已有利润可能今夜随时走;覆盖2064396176259162387
2026-06-10,https://x.com/TingHu888/status/2064550172269666339,周一捞的油水周二赚周三亏利润回撤,复盘,A股,退潮,Y,,与joined逐日核对吻合:0608大跌71/240 0609反弹233/76 0610回落133/175
2026-06-10,https://x.com/TingHu888/status/2064571985162895862,中美AI股选择要更精细化;不认为有互联网式整体泡沫及超级大崩盘,观点,跨市场,牛,仅限A股,,但称整个AI板块预期挺满;可取代者恢复正常预期也会挺惨
2026-06-10,https://x.com/TingHu888/status/2064574394333270226,试纸:今晚美股AI表现好则做空报告威力大;表现不好则下跌主因非报告,记录/试纸,美股,退潮,N,,Semianalysis做空报告;相关公司均称一切按计划
2026-06-10,https://x.com/TingHu888/status/2064593905082056895,今夜继续大跌才是相对确定捞油水机会;没有大跌就不动等SpaceX上市后,挂单,美股,退潮,N,,昨夜盲捞闷牌夜里已出;时效覆盖06-10凌晨盲捞两条
